Board Game Rank;Thumbnail image;Title;Geek Rating;Avg Rating;Num Voters;Shop
81;;Grand Austria Hotel  (2015)    Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.;7.609;7.89;15337;Used Amazon: (unavailable)   [Shop]
82;;Tainted Grail: The Fall of Avalon  (2019)    Exploration, battle and diplomacy in a dark Arthurian realm.;7.587;8.22;8802;New Amazon: 131,98 €      [Shop]
83;;Architects of the West Kingdom  (2018)    Will you be a virtuous or nefarious servant of the king? Build your way to glory.;7.584;7.80;21899;New Amazon: 66,95 €   [Shop]
84;;Cascadia  (2021)    Create the most harmonious ecosystem as you puzzle together habitats and wildlife.;7.584;8.08;8363;Used Amazon: (unavailable)   [Shop]
85;;Keyflower  (2012)    Compete in a unique auction system to build the most prosperous village.;7.579;7.77;20536;New Amazon: 37,99 €      [Shop]
86;;El Grande  (1995)    Use your caballeros to control regions of medieval Spain, keeping clear of the King!;7.573;7.75;25010;New Amazon: 41,95 €   [Shop]
87;;Caylus  (2005)    Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.;7.567;7.75;27754;Used Amazon: (unavailable)   [Shop]
88;;Battlestar Galactica: The Board Game  (2008)    How can the human race survive when you don't know who is actually human?;7.562;7.74;34363;[Shop]
89;;Twilight Imperium: Third Edition  (2005)    Epic empire-building game of interstellar conflict, trade, and struggle for power.;7.550;7.82;18752;New Amazon: 85,00 €   [Shop]
90;;Troyes  (2010)    Defend the city and rise to power by influencing the merchants, knights and clergy.;7.548;7.74;20712;[Shop]
91;;Dominion: Intrigue  (2009)    Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.;7.548;7.71;31632;Used Amazon: (unavailable)   [Shop]
92;;The Lord of the Rings: Journeys in Middle-Earth  (2019)    Heroes explore Middle-earth, working together to combat evil in an epic campaign.;7.546;7.99;12099;New Amazon: 101,09 €      [Shop]
93;;Mombasa  (2015)    Acquire shares of unique companies and propagate their trading posts to rake in cash.;7.546;7.87;11895;New Amazon: 149,99 €   [Shop]
94;;Raiders of the North Sea  (2015)    Gather your Viking crew in order to plunder seas and lands for glory!;7.545;7.77;19194;[Shop]
95;;Eldritch Horror  (2013)    An unknown Elder God approaches the world—and you must solve mysteries to stop it.;7.543;7.78;32207;New Amazon: 81,18 €      [Shop]
96;;Kanban EV  (2020)    EV-factory workers optimize and innovate to stand out at the big board meeting.;7.533;8.59;3565;[Shop]
97;;Lorenzo il Magnifico  (2016)    Avoid excommunication and lead your family to power during the Italian Renaissance.;7.532;7.88;11252;Used Amazon: (unavailable)   [Shop]
98;;Tigris & Euphrates  (1997)    Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.;7.528;7.70;26578;Used Amazon: (unavailable)   [Shop]
99;;Rising Sun  (2018)    Lead your clan to victory through negotiation, combat, monsters and favors from Kami.;7.525;7.82;18116;New Amazon: 100,45 €      [Shop]
100;;Patchwork  (2014)    Piece together a quilt and leave no holes to become the button master.;7.525;7.63;54468;New Amazon: 26,89 €   [Shop]
